Date,open,high,low,Close,adj_close,volume_shares
2021-10-18,94.75,96.209999,93.346664,95.306664,92.257805,64864134
2021-10-19,96.0,98.303329,94.666664,94.93,91.893188,58157355
2021-10-20,95.333336,98.333336,95.080002,96.866669,93.767906,65113527
2021-10-21,97.0,97.533333,94.669998,95.669998,92.60952,54187725
2021-10-22,97.400002,100.333336,96.333336,100.0,96.80101,100964604
2021-10-25,101.036667,106.216667,100.743332,105.783333,102.39933,100556928
2021-10-26,107.436668,108.333336,105.919998,106.336662,102.934952,93973302
2021-10-27,107.266663,108.910004,105.949997,107.246666,103.815849,65720331
2021-10-28,106.536667,107.933334,101.800003,102.660004,99.375908,89480142
2021-10-29,101.709999,104.586662,97.923332,103.769997,100.450401,104147874
2021-11-01,100.470001,102.803329,97.940002,100.666664,97.446342,85435761
2021-11-02,103.333336,106.599998,102.546669,104.626663,101.279663,87026220
2021-11-03,104.376663,104.616669,99.953331,101.003334,97.772232,59174442
2021-11-04,103.709999,109.666664,103.010002,108.333336,104.867752,104989302
2021-11-05,108.0,109.0,104.336662,104.666664,101.318375,58254978
2021-11-08,102.696663,106.536667,102.333336,105.0,101.641052,50954841
2021-11-09,105.016663,109.989998,105.016663,106.896667,103.477051,60991512
2021-11-10,104.666664,105.199997,100.526665,103.419998,100.111595,82463550
2021-11-11,104.333336,105.66333,102.683334,103.996666,100.669807,41655450
2021-11-12,105.266663,105.580002,101.833336,102.260002,98.988708,44665146
2021-11-15,102.260002,102.260002,96.813332,98.313332,95.168297,67611672
2021-11-16,98.0,99.230003,96.0,97.836662,94.706863,45542544
2021-11-17,100.0,101.080002,98.0,98.949997,95.784592,49013325
2021-11-18,98.266663,99.626663,96.666664,98.466667,95.316719,38729166
2021-11-19,98.573334,100.0,96.0,98.940002,95.774918,52547592
2021-11-22,99.466667,103.836662,99.400002,103.666664,100.350365,86106135
2021-11-23,102.626663,103.243332,101.326668,102.826668,99.537247,45108771
2021-11-24,101.809998,103.199997,100.333336,101.066666,97.833542,42581451
2021-11-25,101.066666,101.496666,97.099998,99.333336,96.155663,51291432
2021-11-26,98.333336,101.589996,98.016663,99.220001,96.045952,36748179
2021-11-29,97.266663,102.356667,96.643333,101.486664,98.240105,60047025
2021-11-30,102.333336,102.666664,101.0,101.566666,98.317551,39536478
